id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception,power_consumed,en_budget
1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,0,8,MOTION_KERNEL,0.33466666666666667,10100.00001,10100.334676666667,100.0,10100.00001,2008000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,2,8,MOTION_KERNEL,0.33466666666666667,10100.334676666667,10100.669343333335,100.0,10100.00001,2008000.0,0
2,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,0,8,MOTION_KERNEL,0.33466666666666667,20100.00002,20100.334686666665,200.0,20100.00002,2008000.0,0
1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,9,TRACKER_KERNEL,1.496,20100.334681666667,20101.830681666666,10100.334676666667,20100.334681666667,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,2,8,MOTION_KERNEL,0.33466666666666667,20100.334686666665,20100.66935333333,200.0,20100.00002,2008000.0,0
3,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,0,8,MOTION_KERNEL,0.33466666666666667,30100.00003,30100.334696666665,300.0,30100.00003,2008000.0,0
-1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,9,TRACKER_KERNEL,1.496,30100.33468666667,30101.830686666668,10100.669343333335,30100.33468666667,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,2,8,MOTION_KERNEL,0.33466666666666667,30100.334696666665,30100.66936333333,300.0,30100.00003,2008000.0,0
1,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,9,1,CLASSIFIER_KERNEL,0,30101.830686666668,30101.830686666668,20101.830681666666,30101.830686666668,0.0,0
4,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,0,8,MOTION_KERNEL,0.33466666666666667,40100.00004,40100.33470666667,400.0,40100.00004,2008000.0,0
2,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,9,TRACKER_KERNEL,1.496,40100.33469166666,40101.83069166666,20100.334686666665,40100.33469166666,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,2,8,MOTION_KERNEL,0.33466666666666667,40100.33470666667,40100.66937333334,400.0,40100.00004,2008000.0,0
-1,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,9,1,CLASSIFIER_KERNEL,0,40101.83069166667,40101.83069166667,30101.830686666668,40101.83069166667,0.0,0
5,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,0,8,MOTION_KERNEL,0.33466666666666667,50100.00005,50100.33471666667,500.0,50100.00005,2008000.0,0
-1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,9,TRACKER_KERNEL,1.496,50100.33469666667,50101.83069666667,20100.66935333333,50100.33469666667,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,2,8,MOTION_KERNEL,0.33466666666666667,50100.33471666667,50100.66938333334,500.0,50100.00005,2008000.0,0
2,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,9,1,CLASSIFIER_KERNEL,0,50101.83069666667,50101.83069666667,40101.83069166666,50101.83069666667,0.0,0
6,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,0,8,MOTION_KERNEL,0.33466666666666667,60100.000060000006,60100.334726666675,600.0,60100.000060000006,2008000.0,0
3,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,9,TRACKER_KERNEL,1.496,60100.334701666674,60101.83070166667,30100.334696666665,60100.334701666674,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,2,8,MOTION_KERNEL,0.33466666666666667,60100.334726666675,60100.669393333344,600.0,60100.000060000006,2008000.0,0
-1,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,9,1,CLASSIFIER_KERNEL,0,60101.83070166667,60101.83070166667,50101.83069666667,60101.83070166667,0.0,0
7,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,0,8,MOTION_KERNEL,0.33466666666666667,70100.00007000001,70100.33473666667,700.0,70100.00007000001,2008000.0,0
-1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,9,TRACKER_KERNEL,1.496,70100.33470666668,70101.83070666667,30100.66936333333,70100.33470666668,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,2,8,MOTION_KERNEL,0.33466666666666667,70100.33473666667,70100.66940333333,700.0,70100.00007000001,2008000.0,0
