id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception,power_consumed,en_budget
1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,0,6,MOTION_KERNEL,0.8032,10100.00001,10100.80321,100.0,10100.00001,2008000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,1,6,MOTION_KERNEL,0.8032,10100.80321,10101.60641,100.0,10100.00001,2008000.0,0
2,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,0,6,MOTION_KERNEL,0.8032,20100.00002,20100.803219999998,200.0,20100.00002,2008000.0,0
1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,6,7,TRACKER_KERNEL,1.496,20100.803215,20102.299215,10100.80321,20100.803215,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,1,6,MOTION_KERNEL,0.8032,20100.803219999998,20101.606419999996,200.0,20100.00002,2008000.0,0
3,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,0,6,MOTION_KERNEL,0.8032,30100.00003,30100.803229999998,300.0,30100.00003,2008000.0,0
-1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,6,7,TRACKER_KERNEL,1.496,30100.80322,30102.29922,10101.60641,30100.80322,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,1,6,MOTION_KERNEL,0.8032,30100.803229999998,30101.606429999996,300.0,30100.00003,2008000.0,0
1,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,7,6,CLASSIFIER_KERNEL,0,30102.29922,30102.29922,20102.299215,30102.29922,0.0,0
4,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,0,6,MOTION_KERNEL,0.8032,40100.00004,40100.80324,400.0,40100.00004,2008000.0,0
2,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,6,7,TRACKER_KERNEL,1.496,40100.803224999996,40102.299224999995,20100.803219999998,40100.803224999996,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,1,6,MOTION_KERNEL,0.8032,40100.80324,40101.60644,400.0,40100.00004,2008000.0,0
-1,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,7,6,CLASSIFIER_KERNEL,0,40102.299225,40102.299225,30102.29922,40102.299225,0.0,0
5,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,0,6,MOTION_KERNEL,0.8032,50100.00005,50100.803250000004,500.0,50100.00005,2008000.0,0
-1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,6,7,TRACKER_KERNEL,1.496,50100.803230000005,50102.299230000004,20101.606419999996,50100.803230000005,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,1,6,MOTION_KERNEL,0.8032,50100.803250000004,50101.60645000001,500.0,50100.00005,2008000.0,0
2,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,7,6,CLASSIFIER_KERNEL,0,50102.299230000004,50102.299230000004,40102.299224999995,50102.299230000004,0.0,0
6,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,0,6,MOTION_KERNEL,0.8032,60100.000060000006,60100.80326000001,600.0,60100.000060000006,2008000.0,0
3,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,6,7,TRACKER_KERNEL,1.496,60100.80323500001,60102.299235000006,30100.803229999998,60100.80323500001,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,1,6,MOTION_KERNEL,0.8032,60100.80326000001,60101.60646000001,600.0,60100.000060000006,2008000.0,0
-1,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,7,6,CLASSIFIER_KERNEL,0,60102.299235000006,60102.299235000006,50102.299230000004,60102.299235000006,0.0,0
7,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,0,6,MOTION_KERNEL,0.8032,70100.00007000001,70100.80327,700.0,70100.00007000001,2008000.0,0
-1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,6,7,TRACKER_KERNEL,1.496,70100.80324000001,70102.29924000001,30101.606429999996,70100.80324000001,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,1,6,MOTION_KERNEL,0.8032,70100.80327,70101.60647,700.0,70100.00007000001,2008000.0,0
