id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception,power_consumed,en_budget
1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,4,8,MOTION_KERNEL,0.502,10100.00001,10100.50201,100.0,10100.00001,2008000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,3,8,MOTION_KERNEL,0.502,10100.50201,10101.00401,100.0,10100.00001,2008000.0,0
2,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,4,8,MOTION_KERNEL,0.502,20100.00002,20100.50202,200.0,20100.00002,2008000.0,0
1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,9,TRACKER_KERNEL,1.496,20100.502015,20101.998014999997,10100.50201,20100.502015,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,3,8,MOTION_KERNEL,0.502,20100.50202,20101.00402,200.0,20100.00002,2008000.0,0
3,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,4,8,MOTION_KERNEL,0.502,30100.00003,30100.50203,300.0,30100.00003,2008000.0,0
-1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,9,TRACKER_KERNEL,1.496,30100.502019999996,30101.998019999995,10101.00401,30100.502019999996,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,3,8,MOTION_KERNEL,0.502,30100.50203,30101.00403,300.0,30100.00003,2008000.0,0
1,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,9,3,CLASSIFIER_KERNEL,0,30101.99802,30101.99802,20101.998014999997,30101.99802,0.0,0
4,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,4,8,MOTION_KERNEL,0.502,40100.00004,40100.50204,400.0,40100.00004,2008000.0,0
2,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,9,TRACKER_KERNEL,1.496,40100.502025,40101.998025,20100.50202,40100.502025,2992000.0,0
