id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception,power_consumed,en_budget
1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,3,8,MOTION_KERNEL,1.6064,10100.00001,10101.60641,100.0,10100.00001,2008000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,4,8,MOTION_KERNEL,1.6064,10101.60641,10103.21281,100.0,10100.00001,2008000.0,0
2,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,3,8,MOTION_KERNEL,1.6064,20100.00002,20101.60642,200.0,20100.00002,2008000.0,0
1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,9,TRACKER_KERNEL,2.3936,20101.606415000002,20104.000015,10101.60641,20101.606415000002,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,4,8,MOTION_KERNEL,1.6064,20101.60642,20103.21282,200.0,20100.00002,2008000.0,0
3,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,3,8,MOTION_KERNEL,1.6064,30100.00003,30101.60643,300.0,30100.00003,2008000.0,0
-1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,9,TRACKER_KERNEL,2.3936,30101.60642,30104.00002,10103.21281,30101.60642,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,4,8,MOTION_KERNEL,1.6064,30101.60643,30103.21283,300.0,30100.00003,2008000.0,0
1,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,9,8,CLASSIFIER_KERNEL,0,30104.00002,30104.00002,20104.000015,30104.00002,0.0,0
4,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,3,8,MOTION_KERNEL,1.6064,40100.00004,40101.606439999996,400.0,40100.00004,2008000.0,0
2,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,9,TRACKER_KERNEL,2.3936,40101.606425000005,40104.00002500001,20101.60642,40101.606425000005,2992000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,4,8,MOTION_KERNEL,1.6064,40101.606439999996,40103.21283999999,400.0,40100.00004,2008000.0,0
