id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception,power_consumed,en_budget
1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,1,8,MOTION_KERNEL,0.8032,10100.00001,10100.80321,100.0,10100.00001,2008000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,5,8,MOTION_KERNEL,0.8032,10100.80321,10101.60641,100.0,10100.00001,2008000.0,0
2,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,1,8,MOTION_KERNEL,0.8032,20100.00002,20100.803219999998,200.0,20100.00002,2008000.0,0
1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,3,TRACKER_KERNEL,2.493333333333333,20100.803215,20103.296548333332,10100.80321,20100.803215,29920000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,5,8,MOTION_KERNEL,0.8032,20100.803219999998,20101.606419999996,200.0,20100.00002,2008000.0,0
3,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,1,8,MOTION_KERNEL,0.8032,30100.00003,30100.803229999998,300.0,30100.00003,2008000.0,0
-1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,3,TRACKER_KERNEL,2.493333333333333,30100.80322,30103.296553333334,10101.60641,30100.80322,29920000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,5,8,MOTION_KERNEL,0.8032,30100.803229999998,30101.606429999996,300.0,30100.00003,2008000.0,0
1,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,3,8,CLASSIFIER_KERNEL,0,30103.296553333334,30103.296553333334,20103.296548333332,30103.296553333334,0.0,0
4,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,1,8,MOTION_KERNEL,0.8032,40100.00004,40100.80324,400.0,40100.00004,2008000.0,0
2,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,3,TRACKER_KERNEL,2.493333333333333,40100.803224999996,40103.29655833333,20100.803219999998,40100.803224999996,29920000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,5,8,MOTION_KERNEL,0.8032,40100.80324,40101.60644,400.0,40100.00004,2008000.0,0
-1,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,3,8,CLASSIFIER_KERNEL,0,40103.296558333335,40103.296558333335,30103.296553333334,40103.296558333335,0.0,0
5,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,1,8,MOTION_KERNEL,0.8032,50100.00005,50100.803250000004,500.0,50100.00005,2008000.0,0
-1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,3,TRACKER_KERNEL,2.493333333333333,50100.803230000005,50103.29656333334,20101.606419999996,50100.803230000005,29920000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,5,8,MOTION_KERNEL,0.8032,50100.803250000004,50101.60645000001,500.0,50100.00005,2008000.0,0
2,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,3,8,CLASSIFIER_KERNEL,0,50103.29656333334,50103.29656333334,40103.29655833333,50103.29656333334,0.0,0
6,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,1,8,MOTION_KERNEL,0.8032,60100.000060000006,60100.80326000001,600.0,60100.000060000006,2008000.0,0
3,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,3,TRACKER_KERNEL,2.493333333333333,60100.80323500001,60103.29656833334,30100.803229999998,60100.80323500001,29920000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,5,8,MOTION_KERNEL,0.8032,60100.80326000001,60101.60646000001,600.0,60100.000060000006,2008000.0,0
-1,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,3,8,CLASSIFIER_KERNEL,0,60103.29656833334,60103.29656833334,50103.29656333334,60103.29656833334,0.0,0
7,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,1,8,MOTION_KERNEL,0.8032,70100.00007000001,70100.80327,700.0,70100.00007000001,2008000.0,0
-1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,3,TRACKER_KERNEL,2.493333333333333,70100.80324000001,70103.29657333334,30101.606429999996,70100.80324000001,29920000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,5,8,MOTION_KERNEL,0.8032,70100.80327,70101.60647,700.0,70100.00007000001,2008000.0,0
3,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,3,8,CLASSIFIER_KERNEL,0,70103.29657333334,70103.29657333334,60103.29656833334,70103.29657333334,0.0,0
8,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,1,8,MOTION_KERNEL,0.8032,80100.00008000001,80100.80328000001,800.0,80100.00008000001,2008000.0,0
4,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,3,TRACKER_KERNEL,2.493333333333333,80100.80324500002,80103.29657833335,40100.80324,80100.80324500002,29920000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,5,8,MOTION_KERNEL,0.8032,80100.80328000001,80101.60648,800.0,80100.00008000001,2008000.0,0
-1,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,3,8,CLASSIFIER_KERNEL,0,80103.29657833333,80103.29657833333,70103.29657333334,80103.29657833333,0.0,0
9,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,0,1,1,8,MOTION_KERNEL,0.8032,90100.00009000002,90100.80329000001,900.0,90100.00009000002,2008000.0,0
-1,COMP_M,SmartSurveillance,CLASSIFIER_KERNEL,M.T_C,1,2,8,3,TRACKER_KERNEL,2.493333333333333,90100.80325,90103.29658333333,40101.60644,90100.80325,29920000.0,0
-1,COMP_M,SmartSurveillance,TRACKER_KERNEL,M.M_T,4,1,5,8,MOTION_KERNEL,0.8032,90100.80329000001,90101.60649,900.0,90100.00009000002,2008000.0,0
4,COMP_M,SmartSurveillance,GUI_KERNEL,M.C_G,2,3,3,8,CLASSIFIER_KERNEL,0,90103.29658333334,90103.29658333334,80103.29657833335,90103.29658333334,0.0,0
